id,name,description,flavor_text,category,slot,tier,effect_json
essence_str_t1,힘의 정수,STR +1 영구 강화,전장에서 쓰러진 전사의 의지가 결정으로 맺혔다. 가장 흔한 형태의 정수.,consumable,essence_str,1,"{""permanent_stat_gain"":{""str"":1}}"
essence_int_t1,지혜의 정수,INT +1 영구 강화,흘려보낸 지식이 잔잔한 결정으로 남았다. 가장 흔한 형태의 정수.,consumable,essence_int,1,"{""permanent_stat_gain"":{""intelligence"":1}}"
essence_vit_t1,수호의 정수,VIT +1 영구 강화,이름 없는 보초의 끈기가 결정으로 굳었다. 가장 흔한 형태의 정수.,consumable,essence_vit,1,"{""permanent_stat_gain"":{""vit"":1}}"
essence_agi_t1,민첩의 정수,AGI +1 영구 강화,스쳐 지나간 발걸음의 잔상이 결정으로 맺혔다. 가장 흔한 형태의 정수.,consumable,essence_agi,1,"{""permanent_stat_gain"":{""agi"":1}}"
essence_str_t2,오래된 힘의 정수,STR +2 영구 강화,수십 년 전 북방 전쟁의 함성이 탁한 결정 안에 희미하게 맺혀 있다.,consumable,essence_str,2,"{""permanent_stat_gain"":{""str"":2}}"
essence_int_t2,오래된 지혜의 정수,INT +2 영구 강화,수십 년 전 한 학자의 마지막 깨달음이 탁한 빛으로 굳어 있다.,consumable,essence_int,2,"{""permanent_stat_gain"":{""intelligence"":2}}"
essence_vit_t2,오래된 수호의 정수,VIT +2 영구 강화,수십 년 전 성벽을 끝까지 버텨낸 수호자의 가죽에서 맺힌 결정.,consumable,essence_vit,2,"{""permanent_stat_gain"":{""vit"":2}}"
essence_agi_t2,오래된 민첩의 정수,AGI +2 영구 강화,수십 년 전 전령이 질주한 새벽 바람이 탁한 결정 안에 잠들어 있다.,consumable,essence_agi,2,"{""permanent_stat_gain"":{""agi"":2}}"
essence_str_t3,고대의 힘의 정수,STR +4 영구 강화,수백 년의 시간이 정제된 결정체. 각인하면 잊혀진 검의 무게가 되살아난다.,consumable,essence_str,3,"{""permanent_stat_gain"":{""str"":4}}"
essence_int_t3,고대의 지혜의 정수,INT +4 영구 강화,수백 년간 봉인된 도서관의 침묵이 정제된 결정. 쥐면 잊혀진 룬이 떠오른다.,consumable,essence_int,3,"{""permanent_stat_gain"":{""intelligence"":4}}"
essence_vit_t3,고대의 수호의 정수,VIT +4 영구 강화,수백 년을 견뎌온 고대 방패의 기억이 정제된 결정. 각인하면 상처가 늦게 벌어진다.,consumable,essence_vit,3,"{""permanent_stat_gain"":{""vit"":4}}"
essence_agi_t3,고대의 민첩의 정수,AGI +4 영구 강화,수백 년의 질주가 정제된 결정체. 쥐면 바람이 손끝에 맴돈다.,consumable,essence_agi,3,"{""permanent_stat_gain"":{""agi"":4}}"
essence_str_t4,태고의 힘의 정수,STR +7 영구 강화,태고의 전사가 땅을 가른 순간이 결정에 봉인되어 있다. 빛은 차갑지만 품은 힘은 뜨겁다.,consumable,essence_str,4,"{""permanent_stat_gain"":{""str"":7}}"
essence_int_t4,태고의 지혜의 정수,INT +7 영구 강화,태고의 마법사들이 함께 사유한 순간이 응축되어 있다. 차가운 빛이 사고를 파고든다.,consumable,essence_int,4,"{""permanent_stat_gain"":{""intelligence"":7}}"
essence_vit_t4,태고의 수호의 정수,VIT +7 영구 강화,태고의 거인이 재앙을 막아선 순간이 결정에 갇혔다. 그 무게는 시간도 짓이기지 못한다.,consumable,essence_vit,4,"{""permanent_stat_gain"":{""vit"":7}}"
essence_agi_t4,태고의 민첩의 정수,AGI +7 영구 강화,태고의 사냥꾼이 첫 짐승을 쫓던 궤적이 결정에 새겨져 있다. 바람보다 오래된 속도.,consumable,essence_agi,4,"{""permanent_stat_gain"":{""agi"":7}}"
essence_str_t5,태초의 힘의 정수,STR +11 영구 강화,세계가 형체를 갖기 전 휘둘러진 첫 번째 일격의 조각. 각인받은 자는 전설이 된다.,consumable,essence_str,5,"{""permanent_stat_gain"":{""str"":11}}"
essence_int_t5,태초의 지혜의 정수,INT +11 영구 강화,세계의 첫 문장이 쓰이기 전부터 존재한 앎의 조각. 각인받은 자는 우주의 이면을 엿본다.,consumable,essence_int,5,"{""permanent_stat_gain"":{""intelligence"":11}}"
essence_vit_t5,태초의 수호의 정수,VIT +11 영구 강화,세계가 형체를 갖기 전부터 모든 것을 지켜낸 의지의 조각. 각인받은 자는 쉽게 꺾이지 않는다.,consumable,essence_vit,5,"{""permanent_stat_gain"":{""vit"":11}}"
essence_agi_t5,태초의 민첩의 정수,AGI +11 영구 강화,세계가 형체를 갖기 전 가장 먼저 달려간 존재의 조각. 각인받은 자는 시간보다 빠르다.,consumable,essence_agi,5,"{""permanent_stat_gain"":{""agi"":11}}"
